Date,alpha-3_code,Total_Recovered_Cases,New_Recovered_Cases
1/22/2021,AFG,46912,25
1/22/2021,ALB,42895,469
1/22/2021,DZA,71552,209
1/22/2021,AND,8537,63
1/22/2021,AGO,17223,47
1/22/2021,ATG,162,0
1/22/2021,ARG,1636826,11071
1/22/2021,ARM,154259,213
1/22/2021,AUS,25972,11
1/22/2021,AUT,378408,2048
1/22/2021,AZE,219019,632
1/22/2021,BHS,6720,0
1/22/2021,BHR,95902,308
1/22/2021,BGD,475561,487
1/22/2021,BRB,493,0
1/22/2021,BLR,218831,2087
1/22/2021,BEL,0,0
1/22/2021,BLZ,11009,47
1/22/2021,BEN,3317,33
1/22/2021,BTN,679,48
1/22/2021,BOL,148750,1006
1/22/2021,BIH,90691,809
1/22/2021,BWA,15911,0
1/22/2021,BRA,7746910,73818
1/22/2021,BRN,169,0
1/22/2021,BGR,178602,1248
1/22/2021,BFA,7883,135
1/22/2021,MMR,120543,570
1/22/2021,BDI,773,0
1/22/2021,CPV,12590,73
1/22/2021,KHM,403,4
1/22/2021,CMR,26861,0
1/22/2021,CAN,659185,6939
1/22/2021,CAF,4885,0
1/22/2021,TCD,2222,29
1/22/2021,CHL,645035,3031
1/22/2021,CHN,91526,144
1/22/2021,COL,1811552,10418
1/22/2021,COM,1298,88
1/22/2021,COG,5846,0
1/22/2021,COD,14875,10
1/22/2021,CRI,146448,724
1/22/2021,CIV,24356,237
1/22/2021,HRV,219878,796
1/22/2021,CUB,15311,557
1/22/2021,CYP,2057,0
1/22/2021,CZE,795878,13320
1/22/2021,DNK,178224,1548
1/22/2021,,699,0
1/22/2021,DJI,5837,4
1/22/2021,DMA,105,1
1/22/2021,DOM,146491,471
1/22/2021,ECU,199332,0
1/22/2021,EGY,125603,432
1/22/2021,SLV,46370,357
1/22/2021,GNQ,5197,6
1/22/2021,ERI,1304,0
1/22/2021,EST,29167,424
1/22/2021,SWZ,8962,140
1/22/2021,ETH,118513,507
1/22/2021,FJI,53,0
1/22/2021,FIN,31000,0
1/22/2021,FRA,221937,1287
1/22/2021,GAB,9902,93
1/22/2021,GMB,3703,6
1/22/2021,GEO,238737,636
1/22/2021,DEU,1813894,16246
1/22/2021,GHA,56706,0
1/22/2021,GRC,93764,0
1/22/2021,GRD,129,0
1/22/2021,GTM,137092,112
1/22/2021,GIN,13566,57
1/22/2021,GNB,2405,0
1/22/2021,GUY,6328,51
1/22/2021,HTI,8979,0
1/22/2021,VAT,15,0
1/22/2021,HND,60410,18
1/22/2021,HUN,237362,2086
1/22/2021,ISL,5868,22
1/22/2021,IND,10300838,17136
1/22/2021,IDN,781147,8357
1/22/2021,IRN,1151676,7127
1/22/2021,IRQ,578292,1567
1/22/2021,IRL,23364,0
1/22/2021,ISR,504590,7243
1/22/2021,ITA,1855127,27676
1/22/2021,JAM,11833,24
1/22/2021,JPN,279058,6027
1/22/2021,JOR,304996,796
1/22/2021,KAZ,193702,1124
1/22/2021,KEN,82866,137
1/22/2021,KOR,62044,629
1/22/2021,XKX,50489,303
1/22/2021,KWT,153307,481
1/22/2021,KGZ,79772,263
1/22/2021,LAO,41,0
1/22/2021,LVA,46981,4464
1/22/2021,LBN,162007,3185
1/22/2021,LSO,1993,126
1/22/2021,LBR,1714,0
1/22/2021,LBY,90952,1043
1/22/2021,LIE,2322,0
1/22/2021,LTU,114925,1561
1/22/2021,LUX,46656,157
1/22/2021,,7,0
1/22/2021,MDG,17609,0
1/22/2021,MWI,6408,94
1/22/2021,MYS,132706,2554
1/22/2021,MDV,13731,48
1/22/2021,MLI,5683,17
1/22/2021,MLT,13435,201
1/22/2021,MHL,4,0
1/22/2021,MRT,15047,77
1/22/2021,MUS,518,0
1/22/2021,MEX,1291940,27160
1/22/2021,,0,0
1/22/2021,MDA,145831,663
1/22/2021,MCO,1078,20
1/22/2021,MNG,1125,28
1/22/2021,MNE,48571,597
1/22/2021,MAR,440652,1351
1/22/2021,MOZ,19858,348
1/22/2021,NAM,29571,341
1/22/2021,NPL,263348,480
1/22/2021,NLD,12258,103
1/22/2021,NZL,2178,0
1/22/2021,NIC,4225,0
1/22/2021,NER,3403,46
1/22/2021,NGA,94130,484
1/22/2021,MKD,76045,658
1/22/2021,NOR,17998,0
1/22/2021,OMN,124730,0
1/22/2021,PAK,484508,1737
1/22/2021,PAN,253503,3288
1/22/2021,PNG,790,0
1/22/2021,PRY,101599,751
1/22/2021,PER,993509,0
1/22/2021,PHL,467720,245
1/22/2021,POL,1215732,0
1/22/2021,PRT,441556,7319
1/22/2021,QAT,144619,141
1/22/2021,ROU,645923,4635
1/22/2021,RUS,3048837,26976
1/22/2021,RWA,8184,211
1/22/2021,KNA,33,0
1/22/2021,LCA,412,58
1/22/2021,VCT,126,0
1/22/2021,WSM,2,0
1/22/2021,SMR,2597,41
1/22/2021,STP,996,1
1/22/2021,SAU,357525,188
1/22/2021,SEN,20089,173
1/22/2021,SRB,0,0
1/22/2021,SYC,681,80
1/22/2021,SLE,2166,23
1/22/2021,SGP,58983,24
1/22/2021,SVK,183942,2813
1/22/2021,SVN,133428,2051
1/22/2021,SLB,10,0
1/22/2021,SOM,3666,0
1/22/2021,ZAF,1201284,17841
1/22/2021,,3542,0
1/22/2021,ESP,150376,0
1/22/2021,LKA,48617,633
1/22/2021,SDN,15688,0
1/22/2021,SUR,7112,85
1/22/2021,SWE,0,0
1/22/2021,CHE,317600,0
1/22/2021,SYR,6918,76
1/22/2021,TWN,777,0
1/22/2021,TJK,13218,0
1/22/2021,TZA,183,0
1/22/2021,THA,10224,0
1/22/2021,TLS,49,0
1/22/2021,TGO,3927,26
1/22/2021,TTO,6991,17
1/22/2021,TUN,140180,2720
1/22/2021,TUR,2296050,6018
1/22/2021,USA,0,0
1/22/2021,UGA,13699,0
1/22/2021,UKR,961668,14581
1/22/2021,ARE,243267,3945
1/22/2021,GBR,8678,97
1/22/2021,URY,27715,788
1/22/2021,UZB,76752,97
1/22/2021,VUT,1,0
1/22/2021,VEN,114925,626
1/22/2021,VNM,1411,0
1/22/2021,,143611,792
1/22/2021,YEM,1423,0
1/22/2021,ZMB,32667,1145
1/22/2021,ZWE,21080,1511
1/21/2021,AFG,46887,128
1/21/2021,ALB,42426,457
1/21/2021,DZA,71343,216
1/21/2021,AND,8474,75
1/21/2021,AGO,17176,255
1/21/2021,ATG,162,5
1/21/2021,ARG,1625755,11982
1/21/2021,ARM,154046,189
1/21/2021,AUS,25961,9
1/21/2021,AUT,376360,1536
1/21/2021,AZE,218387,770
1/21/2021,BHS,6720,0
1/21/2021,BHR,95594,354
1/21/2021,BGD,475074,602
1/21/2021,BRB,493,0
1/21/2021,BLR,216744,2378
1/21/2021,BEL,0,0
1/21/2021,BLZ,10962,51
1/21/2021,BEN,3284,0
1/21/2021,BTN,631,0
1/21/2021,BOL,147744,1166
1/21/2021,BIH,89882,807
1/21/2021,BWA,15911,1287
1/21/2021,BRA,7673092,55012
1/21/2021,BRN,169,0
1/21/2021,BGR,177354,2256
1/21/2021,BFA,7748,111
1/21/2021,MMR,119973,659
1/21/2021,BDI,773,0
1/21/2021,CPV,12517,117
1/21/2021,KHM,399,3
1/21/2021,CMR,26861,0
1/21/2021,CAN,652246,7279
1/21/2021,CAF,4885,0
1/21/2021,TCD,2193,15
1/21/2021,CHL,642004,2913
1/21/2021,CHN,91382,0
1/21/2021,COL,1801134,14964
1/21/2021,COM,1210,0
1/21/2021,COG,5846,0
1/21/2021,COD,14865,31
1/21/2021,CRI,145724,847
1/21/2021,CIV,24119,252
1/21/2021,HRV,219082,724
1/21/2021,CUB,14754,263
1/21/2021,CYP,2057,0
1/21/2021,CZE,782558,14808
1/21/2021,DNK,176676,1629
1/21/2021,,699,0
1/21/2021,DJI,5833,5
1/21/2021,DMA,104,0
1/21/2021,DOM,146020,339
1/21/2021,ECU,199332,0
1/21/2021,EGY,125171,566
1/21/2021,SLV,46013,790
1/21/2021,GNQ,5191,0
1/21/2021,ERI,1304,70
1/21/2021,EST,28743,636
1/21/2021,SWZ,8822,170
1/21/2021,ETH,118006,653
1/21/2021,FJI,53,0
1/21/2021,FIN,31000,0
1/21/2021,FRA,220650,1296
1/21/2021,GAB,9809,0
1/21/2021,GMB,3697,0
1/21/2021,GEO,238101,1179
1/21/2021,DEU,1797648,19329
1/21/2021,GHA,56706,807
1/21/2021,GRC,93764,0
1/21/2021,GRD,129,0
1/21/2021,GTM,136980,736
1/21/2021,GIN,13509,87
1/21/2021,GNB,2405,0
1/21/2021,GUY,6277,11
1/21/2021,HTI,8979,20
1/21/2021,VAT,15,0
1/21/2021,HND,60392,175
1/21/2021,HUN,235276,2044
1/21/2021,ISL,5846,16
1/21/2021,IND,10283702,17996
1/21/2021,IDN,772790,9087
1/21/2021,IRN,1144549,6737
1/21/2021,IRQ,576725,1805
1/21/2021,IRL,23364,0
1/21/2021,ISR,497347,9189
1/21/2021,ITA,1827451,20519
1/21/2021,JAM,11809,32
1/21/2021,JPN,273031,8200
1/21/2021,JOR,304200,1092
1/21/2021,KAZ,192578,1132
1/21/2021,KEN,82729,75
1/21/2021,KOR,61415,569
1/21/2021,XKX,50186,471
1/21/2021,KWT,152826,406
1/21/2021,KGZ,79509,136
1/21/2021,LAO,41,0
1/21/2021,LVA,42517,0
1/21/2021,LBN,158822,1620
1/21/2021,LSO,1867,94
1/21/2021,LBR,1714,0
1/21/2021,LBY,89909,979
1/21/2021,LIE,2322,20
1/21/2021,LTU,113364,2913
1/21/2021,LUX,46499,288
1/21/2021,,7,0
1/21/2021,MDG,17609,0
1/21/2021,MWI,6314,108
1/21/2021,MYS,130152,2490
1/21/2021,MDV,13683,44
1/21/2021,MLI,5666,8
1/21/2021,MLT,13234,180
1/21/2021,MHL,4,0
1/21/2021,MRT,14970,141
1/21/2021,MUS,518,0
1/21/2021,MEX,1264780,0
1/21/2021,,0,0
1/21/2021,MDA,145168,812
1/21/2021,MCO,1058,8
1/21/2021,MNG,1097,51
1/21/2021,MNE,47974,741
1/21/2021,MAR,439301,1346
1/21/2021,MOZ,19510,26
1/21/2021,NAM,29230,1004
1/21/2021,NPL,262868,226
1/21/2021,NLD,12155,53
1/21/2021,NZL,2178,12
1/21/2021,NIC,4225,0
