Country Name,Country Code,Indicator Name,2017,2018,2019
Arab World,ARB,GDP per capita (current US$),6108.58822,6601.825189,6584.740241
Caribbean small states,CSS,GDP per capita (current US$),9767.970059,10187.21231,10500.9719
Central Europe and the Baltics,CEB,GDP per capita (current US$),14244.86448,16037.4819,16300.79207
Early-demographic dividend,EAR,GDP per capita (current US$),3555.344906,3585.322188,3644.014598
East Asia & Pacific,EAS,GDP per capita (current US$),10467.44302,11318.63549,11530.13813
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),7173.567315,7971.673386,8222.276873
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),7249.101815,8055.429563,8308.522906
Euro area,EMU,GDP per capita (current US$),37140.66985,40038.50678,38984.68599
Europe & Central Asia,ECS,GDP per capita (current US$),23629.10622,25215.27196,24744.14029
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),7879.818681,8031.864209,8133.260847
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),8552.952742,8894.670685,9017.278287
European Union,EUU,GDP per capita (current US$),33080.91864,35733.716,34918.49837
Fragile and conflict affected situations,FCS,GDP per capita (current US$),2055.573604,2175.936541,2228.255245
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),939.5091035,972.9429143,976.7418087
High income,HIC,GDP per capita (current US$),42013.8899,44417.86792,44617.47653
IBRD only,IBD,GDP per capita (current US$),6094.41443,6448.829193,6561.994287
IDA & IBRD total,IBT,GDP per capita (current US$),4889.160082,5152.65366,5228.544142
IDA blend,IDB,GDP per capita (current US$),1718.482332,1756.039606,1765.663465
IDA only,IDX,GDP per capita (current US$),1118.026547,1170.105606,1200.918607
IDA total,IDA,GDP per capita (current US$),1319.412191,1365.854651,1388.828141
Late-demographic dividend,LTE,GDP per capita (current US$),9029.711738,9838.443252,9999.48842
Latin America & Caribbean,LCN,GDP per capita (current US$),9448.255479,9092.672378,8869.894814
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),9005.799324,8593.741441,8390.062921
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),9303.048562,8934.498183,8702.137464
Least developed countries: UN classification,LDC,GDP per capita (current US$),1047.708059,1063.167911,1079.204614
Low & middle income,LMY,GDP per capita (current US$),4753.282733,5001.699779,5080.877694
Low income,LIC,GDP per capita (current US$),792.8262941,795.9571164,810.0948534
Lower middle income,LMC,GDP per capita (current US$),2037.373649,2091.390578,2174.439797
Middle East & North Africa,MEA,GDP per capita (current US$),7416.585843,7943.946907,7991.129005
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),3815.062356,3970.848245,
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),3816.596803,3975.048437,
Middle income,MIC,GDP per capita (current US$),5196.359761,5478.717948,5573.244107
North America,NAC,GDP per capita (current US$),58564.15832,61305.89217,63344.07752
Not classified,INX,GDP per capita (current US$),,,
OECD members,OED,GDP per capita (current US$),37416.315,39331.53423,39485.8942
Other small states,OSS,GDP per capita (current US$),13230.82501,14382.79798,13778.29351
Pacific island small states,PSS,GDP per capita (current US$),4216.561939,4341.143524,4264.667414
Post-demographic dividend,PST,GDP per capita (current US$),42929.5336,45321.99861,45618.88616
Pre-demographic dividend,PRE,GDP per capita (current US$),1416.520679,1455.982289,1485.649585
Small states,SST,GDP per capita (current US$),12048.34977,13013.75137,12615.46585
South Asia,SAS,GDP per capita (current US$),1866.159019,1898.971004,1956.575921
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),1866.159019,1898.971004,1956.575921
Sub-Saharan Africa,SSF,GDP per capita (current US$),1563.375085,1596.166175,1596.213734
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),1551.297507,1583.532021,1583.926065
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),1563.375085,1596.166175,1596.213734
Upper middle income,UMC,GDP per capita (current US$),8368.528094,8906.243876,9036.765255
World,WLD,GDP per capita (current US$),10827.70326,11385.67523,11441.73286
Afghanistan,AFG,GDP per capita (current US$),519.8847731,493.7504181,507.1034319
Albania,ALB,GDP per capita (current US$),4531.020806,5284.380184,5353.244856
Algeria,DZA,GDP per capita (current US$),4111.29411,4153.733978,3973.964072
American Samoa,ASM,GDP per capita (current US$),10823.4448,11466.69071,
Andorra,AND,GDP per capita (current US$),38962.88035,41793.05526,40886.39116
Angola,AGO,GDP per capita (current US$),4095.812942,3289.646664,2790.726615
Antigua and Barbuda,ATG,GDP per capita (current US$),15383.41519,16672.74424,17112.82113
Argentina,ARG,GDP per capita (current US$),14613.04182,11633.49801,9912.281809
Armenia,ARM,GDP per capita (current US$),3914.501268,4220.490277,4622.733493
Aruba,ABW,GDP per capita (current US$),29007.693,,
Australia,AUS,GDP per capita (current US$),54027.96682,57354.96405,55060.3261
Austria,AUT,GDP per capita (current US$),47426.51196,51478.28526,50137.66278
Azerbaijan,AZE,GDP per capita (current US$),4147.089716,4739.84171,4793.58702
"Bahamas, The",BHS,GDP per capita (current US$),32718.6381,33767.50337,34863.7421
Bahrain,BHR,GDP per capita (current US$),23742.98502,23991.05668,23503.97713
Bangladesh,BGD,GDP per capita (current US$),1563.913699,1698.350394,1855.739824
Barbados,BRB,GDP per capita (current US$),17391.42587,17745.19346,18148.24493
Belarus,BLR,GDP per capita (current US$),5761.74712,6330.075246,6663.295293
Belgium,BEL,GDP per capita (current US$),44192.62303,47583.07494,46420.66377
